Buchstabe,Precision,Recall,F1-Score,Support
a,1.000,0.976,0.988,624
b,1.000,1.000,1.000,649
c,1.000,1.000,1.000,609
d,1.000,1.000,1.000,624
e,1.000,1.000,1.000,624
f,1.000,1.000,1.000,610
g,1.000,1.000,1.000,604
h,1.000,1.000,1.000,606
i,1.000,1.000,1.000,654
k,1.000,1.000,1.000,607
l,1.000,1.000,1.000,671
m,1.000,1.000,1.000,617
n,1.000,1.000,1.000,615
o,1.000,1.000,1.000,617
p,1.000,1.000,1.000,597
q,1.000,1.000,1.000,597
r,1.000,1.000,1.000,619
s,0.977,1.000,0.988,638
t,1.000,1.000,1.000,619
u,0.980,1.000,0.990,622
v,1.000,0.979,0.989,620
w,1.000,1.000,1.000,616
x,1.000,1.000,1.000,625
y,1.000,1.000,1.000,614
