Buchstabe,Precision,Recall,F1-Score,Support
a,1.000,1.000,1.000,635
b,1.000,1.000,1.000,649
c,1.000,1.000,1.000,609
d,1.000,1.000,1.000,624
e,1.000,1.000,1.000,624
f,1.000,1.000,1.000,610
g,1.000,1.000,1.000,647
h,1.000,1.000,1.000,628
i,1.000,1.000,1.000,654
k,1.000,1.000,1.000,620
l,1.000,1.000,1.000,613
m,1.000,1.000,1.000,617
n,1.000,1.000,1.000,615
o,1.000,1.000,1.000,617
p,1.000,1.000,1.000,620
q,1.000,1.000,1.000,597
r,1.000,1.000,1.000,627
s,1.000,1.000,1.000,638
t,1.000,1.000,1.000,619
u,1.000,1.000,1.000,622
v,1.000,1.000,1.000,606
w,1.000,1.000,1.000,611
x,1.000,1.000,1.000,625
y,1.000,1.000,1.000,619
